timestamp,filename,width,height,encoding,seq
1778586889.183043957,images/frame_000529.pgm,1280,720,mono8,529
1778586889.249604940,images/frame_000530.pgm,1280,720,mono8,530
1778586889.316386938,images/frame_000531.pgm,1280,720,mono8,531
1778586889.383191824,images/frame_000532.pgm,1280,720,mono8,532
1778586889.449870825,images/frame_000533.pgm,1280,720,mono8,533
1778586889.516582966,images/frame_000534.pgm,1280,720,mono8,534
1778586889.583488941,images/frame_000535.pgm,1280,720,mono8,535
1778586889.650345802,images/frame_000536.pgm,1280,720,mono8,536
1778586889.717079878,images/frame_000537.pgm,1280,720,mono8,537
1778586889.783643007,images/frame_000538.pgm,1280,720,mono8,538
1778586889.850493908,images/frame_000539.pgm,1280,720,mono8,539
1778586889.917204857,images/frame_000540.pgm,1280,720,mono8,540
1778586889.984107971,images/frame_000541.pgm,1280,720,mono8,541
1778586890.050539970,images/frame_000542.pgm,1280,720,mono8,542
1778586890.117318869,images/frame_000543.pgm,1280,720,mono8,543
1778586890.183962822,images/frame_000544.pgm,1280,720,mono8,544
1778586890.250874996,images/frame_000545.pgm,1280,720,mono8,545
1778586890.317488909,images/frame_000546.pgm,1280,720,mono8,546
1778586890.384222984,images/frame_000547.pgm,1280,720,mono8,547
1778586890.450902939,images/frame_000548.pgm,1280,720,mono8,548
1778586890.517565966,images/frame_000549.pgm,1280,720,mono8,549
1778586890.584328890,images/frame_000550.pgm,1280,720,mono8,550
1778586890.651139975,images/frame_000551.pgm,1280,720,mono8,551
1778586890.717834949,images/frame_000552.pgm,1280,720,mono8,552
1778586890.784459829,images/frame_000553.pgm,1280,720,mono8,553
1778586890.851300955,images/frame_000554.pgm,1280,720,mono8,554
1778586890.917997837,images/frame_000555.pgm,1280,720,mono8,555
1778586890.984707832,images/frame_000556.pgm,1280,720,mono8,556
1778586891.051496983,images/frame_000557.pgm,1280,720,mono8,557
1778586891.118263960,images/frame_000558.pgm,1280,720,mono8,558
1778586891.184975863,images/frame_000559.pgm,1280,720,mono8,559
1778586891.251761913,images/frame_000560.pgm,1280,720,mono8,560
1778586891.318439960,images/frame_000561.pgm,1280,720,mono8,561
1778586891.385191917,images/frame_000562.pgm,1280,720,mono8,562
1778586891.451891899,images/frame_000563.pgm,1280,720,mono8,563
1778586891.518620014,images/frame_000564.pgm,1280,720,mono8,564
1778586891.585320950,images/frame_000565.pgm,1280,720,mono8,565
1778586891.652169943,images/frame_000566.pgm,1280,720,mono8,566
1778586891.718807936,images/frame_000567.pgm,1280,720,mono8,567
1778586891.785539865,images/frame_000568.pgm,1280,720,mono8,568
1778586891.852290869,images/frame_000569.pgm,1280,720,mono8,569
1778586891.919056892,images/frame_000570.pgm,1280,720,mono8,570
1778586891.985767841,images/frame_000571.pgm,1280,720,mono8,571
1778586892.052508831,images/frame_000572.pgm,1280,720,mono8,572
1778586892.119323969,images/frame_000573.pgm,1280,720,mono8,573
1778586892.186015844,images/frame_000574.pgm,1280,720,mono8,574
1778586892.252817869,images/frame_000575.pgm,1280,720,mono8,575
1778586892.319446802,images/frame_000576.pgm,1280,720,mono8,576
1778586892.386251926,images/frame_000577.pgm,1280,720,mono8,577
1778586892.452829838,images/frame_000578.pgm,1280,720,mono8,578
1778586892.519765854,images/frame_000579.pgm,1280,720,mono8,579
1778586892.586411953,images/frame_000580.pgm,1280,720,mono8,580
1778586892.653251886,images/frame_000581.pgm,1280,720,mono8,581
1778586892.720109940,images/frame_000582.pgm,1280,720,mono8,582
1778586892.786620855,images/frame_000583.pgm,1280,720,mono8,583
1778586892.853428841,images/frame_000584.pgm,1280,720,mono8,584
1778586892.920186996,images/frame_000585.pgm,1280,720,mono8,585
1778586892.986758947,images/frame_000586.pgm,1280,720,mono8,586
1778586893.053578854,images/frame_000587.pgm,1280,720,mono8,587
1778586893.120318890,images/frame_000588.pgm,1280,720,mono8,588
1778586893.187050819,images/frame_000589.pgm,1280,720,mono8,589
1778586893.253769875,images/frame_000590.pgm,1280,720,mono8,590
1778586893.320408821,images/frame_000591.pgm,1280,720,mono8,591
1778586893.387194872,images/frame_000592.pgm,1280,720,mono8,592
1778586893.453935862,images/frame_000593.pgm,1280,720,mono8,593
1778586893.520704985,images/frame_000594.pgm,1280,720,mono8,594
1778586893.587291002,images/frame_000595.pgm,1280,720,mono8,595
1778586893.654184818,images/frame_000596.pgm,1280,720,mono8,596
